"(('14', '4'), 5)"
"(('13', '5'), 9)"
"(('3', '6'), 5)"
"(('14', '8'), 4)"
"(('2', '11'), 3)"
"(('3', '2'), 4)"
"(('10', '8'), 6)"
"(('13', '3'), 7)"
"(('12', '14'), 3)"
"(('1', '4'), 3)"
"(('12', '4'), 3)"
"(('6', '5'), 9)"
"(('5', '13'), 9)"
"(('12', '8'), 4)"
"(('9', '10'), 3)"
"(('6', '13'), 6)"
"(('9', '14'), 5)"
"(('3', '13'), 7)"
"(('5', '11'), 6)"
"(('1', '14'), 3)"
"(('10', '9'), 3)"
"(('11', '3'), 5)"
"(('12', '10'), 5)"
"(('5', '2'), 7)"
"(('8', '9'), 4)"
"(('6', '3'), 5)"
"(('8', '4'), 4)"
"(('3', '5'), 7)"
"(('2', '5'), 7)"
"(('4', '12'), 3)"
"(('2', '3'), 4)"
"(('8', '14'), 4)"
"(('3', '7'), 3)"
"(('13', '11'), 4)"
"(('8', '10'), 6)"
"(('7', '5'), 3)"
"(('13', '2'), 5)"
"(('2', '13'), 5)"
"(('8', '12'), 4)"
"(('5', '7'), 3)"
"(('13', '6'), 6)"
"(('9', '8'), 4)"
"(('7', '3'), 3)"
"(('11', '7'), 4)"
"(('4', '8'), 4)"
"(('4', '1'), 3)"
"(('14', '12'), 3)"
"(('6', '2'), 4)"
"(('14', '1'), 3)"
"(('11', '13'), 4)"
"(('11', '5'), 6)"
"(('14', '9'), 5)"
"(('4', '14'), 5)"
"(('3', '11'), 5)"
"(('9', '4'), 4)"
"(('2', '6'), 4)"
"(('10', '12'), 5)"
"(('11', '2'), 3)"
"(('5', '6'), 9)"
"(('7', '11'), 4)"
"(('11', '6'), 4)"
"(('4', '9'), 4)"
"(('5', '3'), 7)"
"(('6', '11'), 4)"
"(('9', '5'), 4)"
"(('5', '10'), 6)"
"(('4', '6'), 5)"
"(('3', '1'), 5)"
"(('13', '8'), 5)"
"(('12', '11'), 4)"
"(('14', '5'), 8)"
"(('10', '5'), 6)"
"(('2', '14'), 3)"
"(('11', '8'), 8)"
"(('12', '6'), 6)"
"(('6', '4'), 5)"
"(('6', '8'), 3)"
"(('11', '9'), 4)"
"(('9', '11'), 4)"
"(('13', '1'), 5)"
"(('5', '9'), 4)"
"(('4', '3'), 3)"
"(('11', '14'), 7)"
"(('6', '12'), 6)"
"(('14', '2'), 3)"
"(('11', '12'), 4)"
"(('3', '12'), 6)"
"(('3', '4'), 3)"
"(('8', '11'), 8)"
"(('4', '11'), 4)"
"(('2', '9'), 5)"
"(('6', '14'), 7)"
"(('12', '13'), 5)"
"(('10', '7'), 3)"
"(('12', '2'), 5)"
"(('5', '14'), 8)"
"(('8', '3'), 4)"
"(('11', '4'), 4)"
"(('5', '12'), 8)"
"(('3', '10'), 7)"
"(('5', '4'), 5)"
"(('3', '14'), 6)"
"(('14', '13'), 6)"
"(('8', '2'), 3)"
"(('7', '10'), 3)"
"(('6', '9'), 4)"
"(('9', '3'), 6)"
"(('7', '12'), 4)"
"(('13', '9'), 4)"
"(('8', '13'), 5)"
"(('5', '8'), 7)"
"(('2', '12'), 5)"
"(('10', '3'), 7)"
"(('12', '5'), 8)"
"(('4', '5'), 5)"
"(('3', '8'), 4)"
"(('9', '2'), 5)"
"(('9', '13'), 4)"
"(('1', '3'), 5)"
"(('2', '8'), 3)"
"(('7', '8'), 5)"
"(('8', '5'), 7)"
"(('10', '6'), 5)"
"(('13', '14'), 6)"
"(('14', '6'), 7)"
"(('12', '3'), 6)"
"(('8', '6'), 3)"
"(('6', '10'), 5)"
"(('1', '13'), 5)"
"(('12', '7'), 4)"
"(('9', '6'), 4)"
"(('3', '9'), 6)"
"(('13', '12'), 5)"
"(('8', '7'), 5)"
"(('14', '3'), 6)"
"(('14', '11'), 7)"
